ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
6817,4173035,Inactive,465693,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,QUEENS BOULEVARD,S,65 ROAD,66 AVENUE,40.728062477746,-73.8574209667672,1023767.77364264,204561.513826981,POINT (-73.8574209667672 40.728062477746)
2932,4522525,Active,462757,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,SELFRIDGE STREET,W,OLCOTT STREET,METROPOLITAN AVENUE,40.711584368878,-73.8565332947017,1024023.63664797,198558.442827895,POINT (-73.8565332947017 40.711584368878)
15406,4293078,Active,407537,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,121 STREET,W,LIBERTY AVENUE,107 AVENUE,40.6866289999004,-73.82238212897,1033509.87423714,189483.831383973,POINT (-73.82238212897 40.6866289999004)
5043,1389718,Active,110494,2 HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,AMSTERDAM AVENUE,W,WEST 114 STREET,WEST 115 STREET,40.8057875008336,-73.9619327925138,994788.557322964,232849.444783807,POINT (-73.9619327925138 40.8057875008336)
395,1038120,Active,110885,2HR Com Mon-Sat 0700-1900,,On Street,Manhattan,AMSTERDAM AVENUE,W,WEST 90 STREET,WEST 91 STREET,40.7904899431939,-73.973092665249,991700.761005133,227274.865709901,POINT (-73.973092665249 40.7904899431939)
5576,1023109,Active,103000,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,GRAND STREET,N,FORSYTH STREET,ELDRIDGE STREET,40.7178568912054,-73.9926844935426,986277.906365305,200811.227692395,POINT (-73.9926844935426 40.7178568912054)
14661,3043195,Inactive,307116,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,NOSTRAND AVENUE,W,CORTELYOU ROAD,CLARENDON ROAD,40.6435758710153,-73.9488739436118,998438.272464469,173752.562321648,POINT (-73.9488739436118 40.6435758710153)
11591,4353042,Active,462238,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,GRAND AVENUE,N,69 PLACE,69 LANE,40.7267362808662,-73.8941259601506,1013595.06104848,204063.912131891,POINT (-73.8941259601506 40.7267362808662)
987,3233029,Active,307610,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,GRAHAM AVENUE,W,DEVOE STREET,METROPOLITAN AVENUE,40.7140952296939,-73.9443904979832,999666.187659562,199445.548337147,POINT (-73.9443904979832 40.7140952296939)
9917,1443442,Active,104654,3HR Com Mon-Fri 0700-1900,,On Street,Manhattan,WEST 29 STREET,S,AVENUE OF THE AMERICAS,7 AVENUE,40.7473550403879,-73.9918478445898,986508.830772221,211558.347930387,POINT (-73.9918478445898 40.7473550403879)
307,4513011,Active,434440,6HR Pas Mon-Fri 0900-2200,,On Street,Queens,MELBOURNE AVENUE,N,149 STREET,150 STREET,40.7344791260103,-73.821637587432,1033680.86536497,206917.463183314,POINT (-73.821637587432 40.7344791260103)
9198,3103014,Active,317391,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,18 AVENUE,E,65 STREET,66 STREET,40.6188274157479,-73.9903791732528,986920.918858811,164732.043289229,POINT (-73.9903791732528 40.6188274157479)
2289,2073037,Active,207066,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,JEROME AVENUE,W,EAST 208 STREET,EAST GUN HILL ROAD,40.8820677615825,-73.8821424041396,1016840.39346856,260660.849462733,POINT (-73.8821424041396 40.8820677615825)
6705,1463034,Active,102014,3HR Com Mon-Fri 0700-1400 / 2HR Pas Sat 0700-1400,,On Street,Manhattan,WEST 13 STREET,N,9 AVENUE,WASHINGTON STREET,40.7407734124274,-74.0069702697034,982318.459887892,209160.422608137,POINT (-74.0069702697034 40.7407734124274)
3954,2093017,Active,208760,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,LYDIG AVENUE,S,CRUGER AVENUE,HOLLAND AVENUE,40.8544232943369,-73.8662517577125,1021249.90564689,250595.209489062,POINT (-73.8662517577125 40.8544232943369)
136,4053092,Active,465615,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,YELLOWSTONE BOULEVARD,E,CLYDE STREET,DARTMOUTH STREET,40.7213332029517,-73.8549056016694,1024469.00255513,202110.979029894,POINT (-73.8549056016694 40.7213332029517)
3242,3013095,Active,342807,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,WASHINGTON STREET,E,WATER STREET,FRONT STREET,40.7028527701842,-73.9895492826716,987147.659547061,195344.861000478,POINT (-73.9895492826716 40.7028527701842)
12374,4163110,Active,415640,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,MERRICK BOULEVARD,N,225 STREET,226 STREET,40.6775506100737,-73.7443573724647,1055158.56814438,186229.83953239,POINT (-73.7443573724647 40.6775506100737)
5977,1023070,Inactive,104293,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,ESSEX STREET,E,RIVINGTON STREET,STANTON STREET,40.7207085043841,-73.9869859765109,987857.41829814,201850.341099724,POINT (-73.9869859765109 40.7207085043841)
10980,1228446,Active,109100,2 HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,BROADWAY,E,WEST 150 STREET,WEST 151 STREET,40.8298076267548,-73.947778253709,998701.893984467,241602.85969165,POINT (-73.947778253709 40.8298076267548)
1114,3413006,Retired,307055,2 HR Pas 0800-1900 Mon-Thur/4Hr Pas 0800-1900 Fri,,On Street,Brooklyn,CONEY ISLAND AVENUE,W,ELM AVENUE,RODER AVENUE,40.6163076292408,-73.9636988738733,994328.241970643,163815.960475728,POINT (-73.9636988738733 40.6163076292408)
8176,1023036,Active,102652,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,ALLEN STREET,E,DELANCEY STREET,RIVINGTON STREET,40.719856177253,-73.9898289344217,987069.401501477,201539.70786272,POINT (-73.9898289344217 40.719856177253)
14288,1433832,Active,106847,3HR Com Mon-Sat 1000-1600,,On Street,Manhattan,WEST 57 STREET,S,5 AVENUE,AVENUE OF THE AMERICAS,40.763372257262,-73.9751487209703,991134.232938722,217394.811979219,POINT (-73.9751487209703 40.763372257262)
7325,1193007,Active,112236,3HR Com Mon-Fri 0700-1000 /2HR Pas Mon-Fri 1000-1900 /2HR Pas Sat 0900-1900,,On Street,Manhattan,LEXINGTON AVENUE,W,EAST 83 STREET,EAST 84 STREET,40.7778790698904,-73.956869199194,996195.373078883,222682.091430888,POINT (-73.956869199194 40.7778790698904)
8542,1073007,Inactive,106252,3HR Com Mon-Sat 0800-1900,,On Street,Manhattan,EAST 62 STREET,N,3 AVENUE,2 AVENUE,40.7632807246256,-73.964747355694,994015.60381639,217362.452135816,POINT (-73.964747355694 40.7632807246256)
2798,1433149,Active,105365,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,,On Street,Manhattan,WEST 56 STREET,S,7 AVENUE,BROADWAY,40.7651553930792,-73.9813820135565,989407.365329474,218044.03869915,POINT (-73.9813820135565 40.7651553930792)
3017,1413004,Active,104716,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,AVENUE OF THE AMERICAS,E,WEST 12 STREET,WEST 13 STREET,40.7364010650412,-73.9974043030307,984969.344021797,207567.371988475,POINT (-73.9974043030307 40.7364010650412)
10265,3123086,Active,306350,2HR Pas Mon-Sat 1600-1900,,On Street,Brooklyn,8 AVENUE,E,59 STREET,60 STREET,40.6359330447852,-74.0090028943768,981751.271061644,170964.061336979,POINT (-74.0090028943768 40.6359330447852)
10408,2131188,Active,212092,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,BELMONT AVENUE,E,EAST 186 STREET,EAST 187 STREET,40.8547047531295,-73.886262390122,1015714.06566872,250689.935677558,POINT (-73.886262390122 40.8547047531295)
564,3383104,Active,336918,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,RALPH AVENUE,W,EAST 79 STREET,EAST 78 STREET,40.6393283414519,-73.9194768231583,1006597.84932114,172211.202871561,POINT (-73.9194768231583 40.6393283414519)
1776,3183016,Retired,311400,2HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,COURT STREET,W,DOUGLASS STREET,DEGRAW STREET,40.6844121493523,-73.9949835539909,985641.28952831,188626.266826138,POINT (-73.9949835539909 40.6844121493523)
2593,2043032,Active,221102,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,WEBSTER AVENUE,W,EAST 171 STREET,CLAREMONT PARKWAY,40.8392887636888,-73.9057253568821,1010335.93009955,245066.918380305,POINT (-73.9057253568821 40.8392887636888)
11608,1033117,Active,111450,2HR Com Mon-Fri 0700-1300 /2HR Pas Mon-Fri 1300-1900 /2HR Pas Sat 0730-1900,,On Street,Manhattan,COLUMBUS AVENUE,E,WEST 84 STREET,WEST 85 STREET,40.7854918312599,-73.9727797787061,991787.966539383,225453.909049973,POINT (-73.9727797787061 40.7854918312599)
12498,1443960,Active,106848,3HR Com Mon-Sat 0700-1900 /5HR Pas Mon-Sat 1900-2400,,On Street,Manhattan,EAST 41 STREET,N,5 AVENUE,MADISON AVENUE,40.7526089361323,-73.9807595043653,989580.810520634,213472.991738901,POINT (-73.9807595043653 40.7526089361323)
9107,1133047,Active,107040,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,1 AVENUE,W,ST MARKS PLACE,EAST 9 STREET,40.727829458029,-73.9852854433883,988328.361253887,204444.799165398,POINT (-73.9852854433883 40.727829458029)
2245,4463016,Active,422948,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,117 STREET,E,JAMAICA AVENUE,89 AVENUE,40.6993691669116,-73.8324829680502,1030699.67250848,194119.92184931,POINT (-73.8324829680502 40.6993691669116)
10109,2013122,Active,215223,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,BELMONT AVENUE,E,EAST 189 STREET,EAST FORDHAM ROAD,40.8577375663873,-73.8836975016988,1016422.14200847,251795.836680979,POINT (-73.8836975016988 40.8577375663873)
9699,2163004,Retired,211537,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,LANE AVENUE,W,OVERING STREET,LANE AVENUE,40.8398055502249,-73.8434556596907,1027565.69419639,245279.87038222,POINT (-73.8434556596907 40.8398055502249)
1001,4473110,Retired,441387,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,255 STREET,E,75 AVENUE,UNION TURNPIKE,40.7455827477283,-73.7157588273721,1063010.60132481,211040.323703974,POINT (-73.7157588273721 40.7455827477283)
2753,4313073,Active,455331,2 HR Pas Mon-Sat 0930-1900,,On Street,Queens,JAMAICA AVENUE,S,97 STREET,98 STREET,40.6946342320892,-73.8481733859251,1026351.97647947,192386.91711323,POINT (-73.8481733859251 40.6946342320892)
1436,3123137,Retired,339304,"2HR Pas Mon-Thur, Sat 0830-1900 /2HR Pas Fri 0830-1130, 1300-1900",,On Street,Brooklyn,57 STREET,S,8 AVENUE,9 AVENUE,40.6370887751876,-74.0075246233752,982161.597340718,171385.086413562,POINT (-74.0075246233752 40.6370887751876)
4919,4073046,Active,413292,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,STEINWAY STREET,W,BROADWAY,34 AVENUE,40.75844025529,-73.9195265837725,1006544.17226313,215607.185961306,POINT (-73.9195265837725 40.75844025529)
12410,4053087,Active,404538,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,71 AVENUE,S,108 STREET,110 STREET,40.7217737687002,-73.8432072091946,1027711.41240889,202277.078107148,POINT (-73.8432072091946 40.7217737687002)
2634,2013157,Retired,211013,1HR Pas Mon-Sat 0900-1900,,On Street,Bronx,ELM PLACE,E,EAST 188 STREET,EAST FORDHAM ROAD,40.8608845409634,-73.8943682359398,1013468.97238989,252938.660838887,POINT (-73.8943682359398 40.8608845409634)
9367,4512465,Inactive,441456,2 HR Pas Mon-Sat 0730-1900,,On Street,Queens,VLEIGH PLACE,E,77 ROAD,78 AVENUE,40.7198057976778,-73.820555222792,1033991.77976939,201572.137915984,POINT (-73.820555222792 40.7198057976778)
15530,1273027,Active,113951,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,MADISON AVENUE,W,EAST 94 STREET,EAST 95 STREET,40.7863578172528,-73.9549090323642,996736.664647222,225771.459924057,POINT (-73.9549090323642 40.7863578172528)
12766,4163103,Active,435653,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,243 STREET,W,145 AVENUE,MAYDA ROAD,40.6593164399975,-73.7401984244447,1056331.85090281,179590.038179472,POINT (-73.7401984244447 40.6593164399975)
10064,2313021,Active,204029,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,HOBART AVENUE,E,HOBART AVENUE,ST THERESA AVENUE,40.8486263403433,-73.8313264087994,1030915.65600039,248499.84032023,POINT (-73.8313264087994 40.8486263403433)
13599,2083085,Retired,206937,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,BRONX BOULEVARD,W,EAST 234 STREET,EAST 236 STREET,40.8959531941831,-73.8604658114389,1022826.41725764,265728.67561315,POINT (-73.8604658114389 40.8959531941831)
2023,3073017,Active,320508,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,23 AVENUE,W,86 STREET,BENSON AVENUE,40.6004117684966,-73.9918764249929,986505.8763818,158022.702705309,POINT (-73.9918764249929 40.6004117684966)
3364,4323136,Retired,449971,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,MANTON STREET,S,PERSHING CRESCENT,84 DRIVE,40.7094822518642,-73.8180565701574,1034692.21307981,197812.392810807,POINT (-73.8180565701574 40.7094822518642)
3311,3013584,Retired,300187,1HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,JAY STREET,E,JOHNSON STREET,METROTECH ROADWAY,40.6934866617385,-73.9871418075854,987815.678552225,191932.598796144,POINT (-73.9871418075854 40.6934866617385)
11606,2093057,Active,214420,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,WILLIAMSBRIDGE ROAD,W,NEILL AVENUE,LYDIG AVENUE,40.8544965131512,-73.854765923823,1024427.28183806,250626.945646062,POINT (-73.854765923823 40.8544965131512)
300,1443548,Active,105536,3HR Com Mon-Fri 0800-1900,,On Street,Manhattan,WEST 25 STREET,N,BROADWAY,AVENUE OF THE AMERICAS,40.7432949736591,-73.9896351524246,987122.107104719,210079.200626224,POINT (-73.9896351524246 40.7432949736591)
